Titre,image_url,type,source,episodes,status,aired,rating,score,studio,genre
Yowamushi Pedal: Re:Generation,https://cdn.myanimelist.net/images/anime/1926/90708.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2017-10-13', 'to': '2017-10-13'}",PG-13 - Adolescents de 13 ans ou plus,6.94,TMS Entertainment,"Comedy, Sports, Drama, Shounen"
Full Metal Panic? Fumoffu,https://cdn.myanimelist.net/images/anime/4/75260.jpg,TV,Light novel,12,Diffusion terminé,"{'from': '2003-08-26', 'to': '2003-10-18'}",PG-13 - Adolescents de 13 ans ou plus,8.16,Kyoto Animation,"Action, Comedy, School"
Ring ni Kakero 1: Nichibei Kessen-hen,https://cdn.myanimelist.net/images/anime/1/1771.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2006-04-06', 'to': '2006-06-12'}",PG-13 - Adolescents de 13 ans ou plus,6.75,Toei Animation,"Action, Sports, Shounen"
World Trigger,https://cdn.myanimelist.net/images/anime/7/66705.jpg,TV,Manga,73,Diffusion terminé,"{'from': '2014-10-05', 'to': '2016-04-03'}",PG-13 - Adolescents de 13 ans ou plus,7.68,Toei Animation,"Action, Sci-Fi, Supernatural, School, Shounen"
Detective Conan,https://cdn.myanimelist.net/images/anime/7/75199.jpg,TV,Manga,0,Diffusion en cours,"{'from': '1996-01-08', 'to': None}",PG-13 - Adolescents de 13 ans ou plus,8.25,TMS Entertainment,"Adventure, Mystery, Comedy, Police, Shounen"
Pokemon Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy,https://cdn.myanimelist.net/images/anime/10/23168.jpg,Movie,Game,1,Diffusion terminé,"{'from': '2006-07-15', 'to': '2006-07-15'}",PG - Enfants,6.98,OLM,"Action, Adventure, Drama, Fantasy, Kids"
Bakuon!!,https://cdn.myanimelist.net/images/anime/3/78914.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2016-04-05', 'to': '2016-06-21'}",PG-13 - Adolescents de 13 ans ou plus,6.52,TMS Entertainment,"Comedy, Seinen, Slice of Life"
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,https://cdn.myanimelist.net/images/anime/10/25372.jpg,Movie,Light novel,1,Diffusion terminé,"{'from': '1996-12-14', 'to': '1996-12-14'}",PG-13 - Adolescents de 13 ans ou plus,7.19,Toei Animation,"Mystery, School, Shounen"
GS Mikami: Gokuraku Daisakusen!!,https://cdn.myanimelist.net/images/anime/11/49257.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1994-08-20', 'to': '1994-08-20'}",PG-13 - Adolescents de 13 ans ou plus,6.71,Toei Animation,"Comedy, Fantasy"
Joshiraku,https://cdn.myanimelist.net/images/anime/8/48925.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2012-07-06', 'to': '2012-09-28'}",PG-13 - Adolescents de 13 ans ou plus,7.54,J.C.Staff,"Slice of Life, Comedy, Shounen"
Inazuma Eleven: Ares no Tenbin,https://cdn.myanimelist.net/images/anime/1188/90223.jpg,TV,Game,0,Diffusion en cours,"{'from': '2018-04-06', 'to': None}",G - Tout Ages,7.44,OLM,Sports
Kinnikuman II Sei: Ultimate Muscle,https://cdn.myanimelist.net/images/anime/9/22234.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2004-04-07', 'to': '2004-06-30'}",PG-13 - Adolescents de 13 ans ou plus,6.97,Toei Animation,"Action, Comedy, Martial Arts, Sci-Fi, Shounen, Sports"
Pokemon Diamond & Pearl: Giratina to Sora no Hanataba Sheimi,https://cdn.myanimelist.net/images/anime/3/21316.jpg,Movie,Game,1,Diffusion terminé,"{'from': '2008-07-19', 'to': '2008-07-19'}",PG - Enfants,7.17,OLM,"Action, Adventure, Fantasy, Kids"
Slayers Try,https://cdn.myanimelist.net/images/anime/10/50875.jpg,TV,Light novel,26,Diffusion terminé,"{'from': '1997-04-04', 'to': '1997-09-26'}",PG-13 - Adolescents de 13 ans ou plus,7.91,J.C.Staff,"Adventure, Comedy, Demons, Magic, Fantasy, Shounen"
Yumekui Merry,https://cdn.myanimelist.net/images/anime/3/30869.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2011-01-07', 'to': '2011-04-08'}",PG-13 - Adolescents de 13 ans ou plus,7.14,J.C.Staff,"Action, Supernatural"
Pokemon the Movie XY&Z: Volcanion to Karakuri no Magearna,https://cdn.myanimelist.net/images/anime/3/78818.jpg,Movie,Game,1,Diffusion terminé,"{'from': '2016-07-16', 'to': '2016-07-16'}",PG - Enfants,7.13,OLM,"Adventure, Fantasy, Kids"
Chuunibyou demo Koi ga Shitai!,https://cdn.myanimelist.net/images/anime/12/46931.jpg,TV,Light novel,12,Diffusion terminé,"{'from': '2012-10-04', 'to': '2012-12-20'}",PG-13 - Adolescents de 13 ans ou plus,7.89,Kyoto Animation,"Slice of Life, Comedy, Drama, Romance, School"
